experiment_id,model_name,test_accuracy,test_loss,f1_macro,training_time_sec,num_params,best_epoch,best_val_loss,best_val_acc,num_conv_layers,filters,kernel_size,pooling_type
1,model_01,0.6973333358764648,0.7873559594154358,0.6965225976253698,212.410156,28486,10,0.7936684489250183,0.6996793746948242,2,"[32, 64]","[3, 3]",max
2,model_02,0.6443333625793457,0.9383280277252197,0.6309958022879593,176.817638,28486,10,0.9218069911003113,0.6515853404998779,2,"[32, 64]","[3, 3]",average
3,model_03,0.6930000185966492,0.8090150356292725,0.6873548667911132,194.768833,62790,10,0.819517970085144,0.6904168128967285,2,"[32, 64]","[5, 5]",max
4,model_04,0.6613333225250244,0.8855034708976746,0.6505503913824432,189.589022,62790,10,0.8801311254501343,0.657641589641571,2,"[32, 64]","[5, 5]",average
5,model_05,0.690666675567627,0.8066819906234741,0.6855345803619919,208.380917,92934,10,0.8161181807518005,0.6854292750358582,2,"[64, 128]","[3, 3]",max
6,model_06,0.6919999718666077,0.8063821792602539,0.6859565331384445,185.218344,92934,10,0.805966854095459,0.690773069858551,2,"[64, 128]","[3, 3]",average
7,model_07,0.7089999914169312,0.7935000658035278,0.7088675681769757,311.071355,227078,10,0.7997297048568726,0.6954043507575989,2,"[64, 128]","[5, 5]",max
8,model_08,0.6679999828338623,0.8488031625747681,0.6643707135975934,205.774812,227078,10,0.8344364762306213,0.6672604084014893,2,"[64, 128]","[5, 5]",average
9,model_09,0.7490000128746033,0.6625462770462036,0.7443733258093177,195.434246,65414,10,0.6844483613967896,0.7513359189033508,3,"[32, 64]","[3, 3]",max
10,model_10,0.6986666917800903,0.771620512008667,0.6907069151304576,191.431259,65414,10,0.7831048369407654,0.6954043507575989,3,"[32, 64]","[3, 3]",average
11,model_11,0.7973333597183228,0.5630883574485779,0.7981215576846523,192.726454,165254,10,0.571721613407135,0.7883861660957336,3,"[32, 64]","[5, 5]",max
12,model_12,0.7633333206176758,0.6226791739463806,0.7631330329491973,182.610677,165254,10,0.6388236880302429,0.7666547894477844,3,"[32, 64]","[5, 5]",average
13,model_13,0.7556666731834412,0.6190157532691956,0.7584136106079766,264.160229,240518,10,0.6343061923980713,0.7648735046386719,3,"[64, 128]","[3, 3]",max
14,model_14,0.7476666569709778,0.6685581207275391,0.7413570316798928,186.259007,240518,10,0.6918237805366516,0.7427858710289001,3,"[64, 128]","[3, 3]",average
15,model_15,0.8190000057220459,0.49962809681892395,0.8197917905087745,306.103819,636806,10,0.5263762474060059,0.8118988275527954,3,"[64, 128]","[5, 5]",max
16,model_16,0.7906666398048401,0.590447187423706,0.7920972121763831,299.109116,636806,10,0.606392502784729,0.7844673991203308,3,"[64, 128]","[5, 5]",average
